SUBJ	condition	language	PUPIL_SIZE	CCC	rating_natural
3789	NEGATIVE	ENGLISH	1472,84	12aENGLISH	6,24
2242	NEUTRAL	ENGLISH	1473,06	18bENGLISH	5,84
1512	NEUTRAL	ENGLISH	1473,54	13bENGLISH	4,44
3789	NEUTRAL	ENGLISH	1474,81	13bENGLISH	4,44
1512	NEGATIVE	ENGLISH	1474,85	10aENGLISH	4,92
1512	NEGATIVE	ENGLISH	1475,95	09aENGLISH	5,28
1512	NEGATIVE	ENGLISH	1479,62	14aENGLISH	4,8
708	NEGATIVE	ENGLISH	1479,71	08aENGLISH	6,4
3716	NEGATIVE	ENGLISH	1480,35	01aENGLISH	5,8
3266	NEUTRAL	ENGLISH	1481,16	18bENGLISH	5,84
3266	NEGATIVE	ENGLISH	1481,42	06aENGLISH	5,64
3266	NEUTRAL	ENGLISH	1481,51	03bENGLISH	5
2242	NEGATIVE	ENGLISH	1481,72	05aENGLISH	3,84
1512	NEGATIVE	ENGLISH	1482,3	12aENGLISH	6,24
3789	NEUTRAL	ENGLISH	1482,71	11bENGLISH	5,96
2895	NEUTRAL	ENGLISH	1483,13	18bENGLISH	5,84
1512	NEGATIVE	ENGLISH	1483,91	08aENGLISH	6,4
1512	NEGATIVE	ENGLISH	1486,56	13aENGLISH	5,88
1512	NEUTRAL	ENGLISH	1486,76	15bENGLISH	3,84
708	NEGATIVE	ENGLISH	1486,78	17aENGLISH	6,24
1512	NEGATIVE	ENGLISH	1486,91	16aENGLISH	6,12
1512	NEUTRAL	ENGLISH	1487,78	19bENGLISH	5,04
708	NEUTRAL	ENGLISH	1488,5	15bENGLISH	3,84
2242	NEGATIVE	ENGLISH	1488,68	03aENGLISH	5,16
2242	NEUTRAL	ENGLISH	1488,97	15bENGLISH	3,84
708	NEUTRAL	ENGLISH	1489,03	02bENGLISH	6
1512	NEUTRAL	ENGLISH	1489,06	17bENGLISH	5,28
1512	NEUTRAL	ENGLISH	1489,13	09bENGLISH	5,48
4486	NEUTRAL	ENGLISH	1489,27	04bENGLISH	4,44
4353	NEGATIVE	ENGLISH	1489,47	11aENGLISH	5,28
3266	NEUTRAL	ENGLISH	1489,5	04bENGLISH	4,44
708	NEUTRAL	ENGLISH	1490,12	13bENGLISH	4,44
3789	NEGATIVE	ENGLISH	1490,53	08aENGLISH	6,4
2242	NEUTRAL	ENGLISH	1490,68	17bENGLISH	5,28
3266	NEGATIVE	ENGLISH	1491,17	03aENGLISH	5,16
2895	NEUTRAL	ENGLISH	1491,42	14bENGLISH	3,92
708	NEUTRAL	ENGLISH	1492,03	10bENGLISH	5,6
3266	NEGATIVE	ENGLISH	1492,26	19aENGLISH	4,24
708	NEUTRAL	ENGLISH	1492,43	08bENGLISH	3,72
3789	NEUTRAL	ENGLISH	1493,43	19bENGLISH	5,04
708	NEGATIVE	ENGLISH	1493,52	07aENGLISH	4,76
1512	NEUTRAL	ENGLISH	1494,06	16bENGLISH	4,52
2242	NEUTRAL	ENGLISH	1495,12	16bENGLISH	4,52
708	NEGATIVE	ENGLISH	1495,65	19aENGLISH	4,24
4353	NEUTRAL	ENGLISH	1495,81	10bENGLISH	5,6
2895	NEGATIVE	ENGLISH	1496,06	12aENGLISH	6,24
708	NEUTRAL	ENGLISH	1496,3	20bENGLISH	5,92
708	NEUTRAL	ENGLISH	1497,15	17bENGLISH	5,28
2895	NEGATIVE	ENGLISH	1497,81	03aENGLISH	5,16
4353	NEUTRAL	ENGLISH	1498,23	01bENGLISH	4
3266	NEGATIVE	ENGLISH	1498,78	12aENGLISH	6,24
2242	NEUTRAL	ENGLISH	1499,89	11bENGLISH	5,96
4423	NEUTRAL	ENGLISH	1500,74	06bENGLISH	4,24
2895	NEUTRAL	ENGLISH	1500,79	06bENGLISH	4,24
3266	NEUTRAL	ENGLISH	1501,18	02bENGLISH	6
3266	NEGATIVE	ENGLISH	1501,93	10aENGLISH	4,92
4486	NEUTRAL	ENGLISH	1502	02bENGLISH	6
3266	NEGATIVE	ENGLISH	1502,95	18aENGLISH	5,88
3266	NEGATIVE	ENGLISH	1503,8	04aENGLISH	4,28
3789	NEGATIVE	ENGLISH	1503,98	02aENGLISH	6,04
2242	NEGATIVE	ENGLISH	1504,54	02aENGLISH	6,04
4353	NEGATIVE	ENGLISH	1505,6	17aENGLISH	6,24
2895	NEUTRAL	ENGLISH	1506,84	09bENGLISH	5,48
4353	NEUTRAL	ENGLISH	1507,72	02bENGLISH	6
2895	NEUTRAL	ENGLISH	1508,5	15bENGLISH	3,84
708	NEUTRAL	ENGLISH	1509,76	11bENGLISH	5,96
